,g_poa,t_mod,i_dc,v_dc,p_dc,p_ac
2020-07-01 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 07:00:00+02:00,38.16162144544565,22.326663701006673,2.039829616764494,603.2403240324032,1230.507478987906,1057.0231051073235
2020-07-01 08:00:00+02:00,6.248613688060148,21.71011913534442,0.30000764132895963,603.1603160316032,180.95270375587114,1.3942573084267478
2020-07-01 09:00:00+02:00,163.49869265670384,32.03497607051996,8.699380138013803,613.2413241324132,5334.819394966799,5173.424568094143
2020-07-01 10:00:00+02:00,391.0207463437375,45.45487348155465,20.820011334466777,596.5996599659966,12421.211682631074,12236.965357111194
2020-07-01 11:00:00+02:00,431.6071475175239,48.17111349506868,22.680032253225324,591.3991399139913,13412.95156777904,13221.089889144818
2020-07-01 12:00:00+02:00,366.2929461788316,44.93007397768896,19.200016201620166,594.5994599459946,11416.319264437696,11238.683008465707
2020-07-01 13:00:00+02:00,213.8079975205213,36.931366469393225,11.099240174017403,605.2405240524052,6717.709939505803,6556.204573246742
2020-07-01 14:00:00+02:00,36.199426814458604,27.321310309101356,1.919872032147035,579.6379637963796,1112.8307154633249,938.7257766055975
2020-07-01 15:00:00+02:00,31.89380221406104,26.502119031060136,1.6798607571600537,585.2385238523852,983.1192297979001,808.3125680840129
2020-07-01 16:00:00+02:00,320.3708878079652,41.3207330111818,16.559986198619864,604.6004600460046,10012.175274041057,9841.910220138654
2020-07-01 17:00:00+02:00,396.21380945119165,45.77206063747032,20.81853135313531,591.6391639163917,12317.05848373616,12133.548993435523
2020-07-01 18:00:00+02:00,172.8929249595241,34.0479652886023,9.11935509340408,608.4408440844085,5548.588110536228,5387.31399690476
2020-07-01 19:00:00+02:00,204.0768419339049,35.92708903115948,10.860691833889272,607.9607960796079,6602.874853306618,6441.458955928978
2020-07-01 20:00:00+02:00,156.5983733159187,32.78477506155201,8.459414798622719,609.6409640964097,5157.20579352379,4995.672341143519
2020-07-01 21:00:00+02:00,51.26708695349328,25.558091134255214,2.8201521690630607,604.3604360436043,1704.388394604268,1533.2484521308759
2020-07-01 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 07:00:00+02:00,17.24023494353913,20.47948102767095,0.9600000897067282,595.3995399539954,571.5836117671803,394.4277794110045
2020-07-02 08:00:00+02:00,143.17308172485417,29.615205269940496,7.740441736481341,617.1617161716172,4777.104306013237,4615.15730345692
2020-07-02 09:00:00+02:00,219.14694124635477,35.751142310550776,11.520732073207322,609.5609560956095,7022.588457465608,6860.775003205123
2020-07-02 10:00:00+02:00,598.7132884984746,59.44356620055301,32.34018901890189,562.1962196219622,18181.532008286336,17937.907976356506
2020-07-02 11:00:00+02:00,792.1686837801478,70.52352981649139,43.20046954695469,537.3937393739375,23215.661872547895,22890.183667674937
2020-07-02 12:00:00+02:00,768.2215292709877,68.18672260990118,41.640409540954096,545.3945394539454,22710.451984262334,22394.449990233396
2020-07-02 13:00:00+02:00,610.9082099247001,59.5399445021622,32.76018701870187,562.5962596259626,18430.758681368687,18183.7397909246
2020-07-02 14:00:00+02:00,703.2935705917523,64.84100987959619,37.980296429642976,550.5950595059505,20911.763572732914,20627.214643004805
2020-07-02 15:00:00+02:00,594.2694503254303,59.858066477034626,31.80018101810181,563.7963796379638,17928.826929837698,17688.57520098258
2020-07-02 16:00:00+02:00,649.2162716873047,63.60864617469832,34.98027242724273,554.5954595459546,19399.900261829367,19139.02909404903
2020-07-02 17:00:00+02:00,364.4518844968122,47.29425368109569,19.140034203420342,588.5988598859886,11265.80231031204,11089.060249078391
2020-07-02 18:00:00+02:00,232.2056297819678,39.241703175174585,12.239996142471389,601.8001800180018,7366.031881958929,7203.748598624904
2020-07-02 19:00:00+02:00,358.2333919927546,45.67528457067859,18.900024602460245,591.7991799179918,11185.019060165841,11008.746615465401
2020-07-02 20:00:00+02:00,145.3420111451963,33.28293256663273,7.8004885488548865,609.1609160916091,4751.7527503825495,4589.772497841407
2020-07-02 21:00:00+02:00,52.779285206966044,26.6333485871164,2.877873464765831,594.8394839483949,1711.872766650086,1540.7678651683918
2020-07-02 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 07:00:00+02:00,47.11671364789597,22.252603143302863,2.4599911755881463,615.0015001500151,1512.8982633425092,1340.8407772248177
2020-07-03 08:00:00+02:00,42.76570764347214,23.770705196686517,2.219995821010672,607.8007800780078,1349.3151917802038,1176.441855376159
2020-07-03 09:00:00+02:00,199.46160434338393,33.87462135432589,10.379979174388025,611.8011801180119,6350.48350849098,6189.2131470547365
2020-07-03 10:00:00+02:00,350.11254661899653,42.945302244865225,18.5399966663333,601.000100010001,11142.539850651398,10966.511462903534
2020-07-03 11:00:00+02:00,726.0327204579039,64.11282643523,38.820282028202826,552.995299529953,21467.43348802327,21173.548582881034
2020-07-03 12:00:00+02:00,875.7314244518963,74.3909007447435,46.56054755475547,526.992699269927,24537.068635366388,24185.473977093312
2020-07-03 13:00:00+02:00,871.9509131181309,74.95598847275053,46.500556555655564,525.7925792579258,24449.64756832719,24099.840191589723
2020-07-03 14:00:00+02:00,952.6133582751228,78.24320825093929,51.68883088308831,516.9116911691169,26718.560986331657,26319.637674725913
2020-07-03 15:00:00+02:00,980.8599694525916,77.90226607527109,53.284800480048006,519.95199519952,27705.5383234093,27283.477742160027
2020-07-03 16:00:00+02:00,819.1063383139001,67.83443924522933,44.46041254125412,544.994499449945,24230.68027825885,23885.312590909893
2020-07-03 17:00:00+02:00,798.0746232697608,65.41011101961159,43.50336933693369,550.7550755075508,23959.701463995785,23619.75482669539
2020-07-03 18:00:00+02:00,531.8466696583268,51.250217716147205,28.858089808980903,582.038203820382,16796.510758106517,16570.504870240504
2020-07-03 19:00:00+02:00,296.39592283079514,38.66421369392093,15.420978097809781,608.7608760876087,9387.688136950508,9220.002882647983
2020-07-03 20:00:00+02:00,12.887941688576664,23.373908478394984,0.6600005464290105,572.9972997299731,378.17853092412975,199.85417336924544
2020-07-03 21:00:00+02:00,66.22517683476315,25.09899472344418,3.5397333646408122,608.8408840884089,2155.13439116515,1985.994627139725
2020-07-03 22:00:00+02:00,14.406906039528858,21.580513466976377,0.8399220335826687,576.8376837683768,484.4986803978514,306.82179874466
2020-07-03 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 07:00:00+02:00,18.34525838926392,20.18438867733436,1.0198894095016977,594.4394439443945,606.262493468966,429.31182463336023
2020-07-04 08:00:00+02:00,53.22100452405677,23.58414327923025,2.6399963154210155,607.000700070007,1602.4796116427956,1430.856396865497
2020-07-04 09:00:00+02:00,224.52914904710084,34.63746150952835,11.580722322232223,614.7614761476148,7119.381949671115,6957.4492459291205
2020-07-04 10:00:00+02:00,612.430010184043,57.95902433906029,32.8777893789379,568.4368436843685,18688.94682188291,18438.33876887803
2020-07-04 11:00:00+02:00,846.190190797594,72.33325674830456,46.016675667566744,532.4332433243325,24500.807872686455,24149.955571072845
2020-07-04 12:00:00+02:00,858.8654713504686,73.20362231974903,46.67668366836683,531.6331633163317,24814.87299172961,24457.542814261724
2020-07-04 13:00:00+02:00,1029.9619277306642,81.85683331626015,56.1049204920492,507.95079507950794,28498.538971808972,28057.11015118922
2020-07-04 14:00:00+02:00,946.5089726252879,76.08959890805892,51.532781278127814,521.8721872187218,26893.52527908056,26490.57869321857
2020-07-04 15:00:00+02:00,1056.1315939063984,80.60193238688387,57.42488048804881,511.95119511951197,29398.73619545173,28934.48055518613
2020-07-04 16:00:00+02:00,982.288130971425,75.81471672117564,53.40475247524752,524.7524752475248,28024.276051367513,27594.513972109376
2020-07-04 17:00:00+02:00,938.504090305624,73.10546579010881,51.05670367036704,529.6329632963296,27041.313261079085,26634.94201563959
2020-07-04 18:00:00+02:00,737.3566438202946,63.15797727458515,39.72026282628263,556.1956195619562,22092.236191828004,21787.447117295033
2020-07-04 19:00:00+02:00,348.7222056708738,43.55991332762008,18.180001800180015,599.3999399939994,10897.091988118702,10722.434812358379
2020-07-04 20:00:00+02:00,124.02194422074943,31.79976380712006,6.540392039203922,607.9607960796079,3976.3019508271464,3812.9622567896613
2020-07-04 21:00:00+02:00,65.21658862092083,27.46666911791657,3.540194576834733,604.3604360436043,2139.5535381350423,1970.348372769714
2020-07-04 22:00:00+02:00,40.391414968418246,24.28417326619583,2.27999933326666,601.4001400140014,1371.1919182583993,1198.4293986164557
2020-07-04 23:00:00+02:00,0.0,,0.0,,0.0,0.0
