,g_poa,t_mod,i_dc,v_dc,p_dc,p_ac
2020-07-01 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 07:00:00+02:00,23.316886500137567,21.4566094804149,1.2599981598159815,604.6004600460046,761.7954670818617,615.0360656253587
2020-07-01 08:00:00+02:00,25.479257802471533,22.818416635609246,1.4398820488109416,589.2389238923893,848.434548973328,706.523606794653
2020-07-01 09:00:00+02:00,186.9176125038947,33.35489357250519,9.9593132646598,612.0412041204121,6095.510082714776,6045.916063329485
2020-07-01 10:00:00+02:00,397.0915812140252,45.78781818317998,21.600024669133585,592.5992599259926,12800.158633311745,12680.658559391633
2020-07-01 11:00:00+02:00,406.66060947088647,46.82028236228875,21.780031336466983,590.5990599059905,12863.266032040416,12839.543218084193
2020-07-01 12:00:00+02:00,469.4654718695439,50.45357881818922,24.95836097895504,582.4382438243824,14536.703937317567,14536.703937317567
2020-07-01 13:00:00+02:00,441.3184360224484,48.94636949326765,23.33834726329776,585.6385638563856,13667.836174059308,13667.83617405931
2020-07-01 14:00:00+02:00,473.5331553700344,50.291484143133644,25.081557155715565,584.7584758475848,14666.653134260318,14564.91070863936
2020-07-01 15:00:00+02:00,119.00259225542199,31.06903346237125,6.281785695810961,607.1607160716071,3814.053501276962,3789.441043147475
2020-07-01 16:00:00+02:00,86.58702359313745,28.929403050720698,4.565393489348935,608.6808680868087,2778.8676722547743,2742.7324994838027
2020-07-01 17:00:00+02:00,135.77840447086464,31.59252369462224,7.200448198666019,611.5611561156115,4403.514424926763,4382.681077724658
2020-07-01 18:00:00+02:00,446.07989068985586,49.229447611549276,24.178336976554796,588.0388038803881,14217.80035551024,14171.375035214127
2020-07-01 19:00:00+02:00,137.78048350276842,32.231130365957355,7.440466606660664,611.1611161116111,4547.323875717903,4547.323875717904
2020-07-01 20:00:00+02:00,46.73493743079904,26.69888429773158,2.5798089486367988,594.8394839483949,1534.5722236925646,1430.7516508473743
2020-07-01 21:00:00+02:00,31.58564682940963,24.460869644392808,1.7998723388822397,587.2387238723873,1056.9547354184153,926.6772787562919
2020-07-01 22:00:00+02:00,25.795600779027733,22.52122636066222,1.440085208520852,602.3602360236024,867.450066098719,657.4018991145427
2020-07-01 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 07:00:00+02:00,13.947286235383011,20.288576450693075,0.7800077937936096,598.3598359835984,466.7253355602727,303.3881384984785
2020-07-02 08:00:00+02:00,27.22810031397377,22.978532291791915,1.499998885602846,602.6002600260026,903.8997185029892,765.0881313007516
2020-07-02 09:00:00+02:00,144.95617822143194,31.485108033784662,7.859986694321607,610.2010201020103,4796.171898863272,4744.763005008737
2020-07-02 10:00:00+02:00,549.7790723920707,56.625962230801505,30.24015501550155,568.996899689969,17206.55444996445,17206.55444996445
2020-07-02 11:00:00+02:00,798.2705630223614,70.86478893778614,44.220472547254715,536.9936993699371,23746.115141037055,23215.20492748325
2020-07-02 12:00:00+02:00,876.0653609430778,73.98400455535443,48.35670767076708,529.2329232923292,25591.961761392664,24842.003744085898
2020-07-02 13:00:00+02:00,941.3579779950032,76.9357595022638,51.53681968196819,518.0318031803181,26697.71163002889,26126.77976612174
2020-07-02 14:00:00+02:00,838.45399073798,72.04418826009615,46.37666766676668,533.2333233323333,24729.58462502916,24235.08196324999
2020-07-02 15:00:00+02:00,389.7994466855598,48.679913086895,20.701378804547122,586.3586358635864,12138.432236329612,12138.432236329612
2020-07-02 16:00:00+02:00,240.9499242845436,40.775579599892716,12.780006800680066,596.5996599659966,7624.547711648852,7624.547711648853
2020-07-02 17:00:00+02:00,575.0638092887255,59.13761188161302,31.797810981098106,564.8364836483648,17960.563742278817,17960.563742278817
2020-07-02 18:00:00+02:00,160.06421383654444,35.22720118244144,8.623423485205663,603.5603560356036,5204.756548976516,5152.7663846332125
2020-07-02 19:00:00+02:00,343.45168378694535,44.86053909611283,18.30121212121212,595.959595959596,10906.782981328435,10518.889572636514
2020-07-02 20:00:00+02:00,13.837511317551167,26.014787788665327,0.7800006316421116,568.996899689969,443.8179411605791,279.1895309733233
2020-07-02 21:00:00+02:00,61.7378786714556,27.138035627036267,2.820175076331163,603.1603160316032,1701.017690304355,1482.8801546237596
2020-07-02 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 07:00:00+02:00,21.603031645254912,20.95159448139013,1.1999980517532274,605.000500050005,725.9994213697344,522.2595862749589
2020-07-03 08:00:00+02:00,7.451634565781923,21.94520038989458,0.42000840084008406,579.95799579958,243.58723037020178,67.64661873114142
2020-07-03 09:00:00+02:00,54.456346602118714,25.96895310547328,2.9401864948399608,608.3608360836083,1788.6943142425723,1698.842787240068
2020-07-03 10:00:00+02:00,88.47567855679338,28.27943932819462,4.73999228494278,609.000900090009,2886.6595679498514,2821.64827958888
2020-07-03 11:00:00+02:00,421.2689091009613,46.95160814249677,22.560026252625267,592.999299929993,13378.079774209045,13378.079774209045
2020-07-03 12:00:00+02:00,437.7741463549737,49.26519721860021,23.878343834383436,586.4386438643864,14003.183575963356,14003.183575963358
2020-07-03 13:00:00+02:00,445.2784178352203,50.67735387405205,24.181557155715566,584.7584758475848,14140.370505997493,14140.370505997495
2020-07-03 14:00:00+02:00,824.667524662963,71.23580638752836,45.180484548454835,535.3935393539355,24189.339532123027,24189.339532123027
2020-07-03 15:00:00+02:00,885.656296288401,72.88591132428576,48.90052355235524,530.1930193019302,25926.716227668374,25926.716227668374
2020-07-03 16:00:00+02:00,752.4032176385952,64.42687840726722,41.46635313531353,552.9152915291529,22927.380732462687,22927.38073246269
2020-07-03 17:00:00+02:00,683.4578666913568,59.668303776151006,37.56021242124213,564.5964596459646,21206.36295658369,20998.58013022347
2020-07-03 18:00:00+02:00,377.9700834758133,43.58014655872776,20.46133613361336,599.1599159915992,12259.612438891654,12259.612438891654
2020-07-03 19:00:00+02:00,217.52423645581246,34.727436927603776,11.63996956838541,614.2014201420143,7149.285839312148,7099.363323977933
2020-07-03 20:00:00+02:00,81.58468789496878,26.859444483133647,4.0202522860981755,613.1613161316131,2465.0631829250838,2368.641029386265
2020-07-03 21:00:00+02:00,69.56400690692281,25.275401180373876,3.4199920457161994,611.4011401140115,2090.9870359317347,1898.7055373575683
2020-07-03 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 07:00:00+02:00,16.03647183634275,20.056725883604752,0.9000077937936096,598.3598359835984,538.5285158783045,379.2346865667458
2020-07-04 08:00:00+02:00,30.38459601650876,22.299397159421034,1.5600009249045206,591.7991799179918,923.2072680298039,785.4737374164504
2020-07-04 09:00:00+02:00,161.0724353324675,31.06584606229921,8.459975697569753,616.2016201620163,5213.050731373766,5213.050731373767
2020-07-04 10:00:00+02:00,573.2678872685426,55.77279121647874,31.262130213021305,573.9573957395739,17943.13084233716,17719.756185498267
2020-07-04 11:00:00+02:00,735.8473564336442,66.16493255710384,40.440313231323124,547.7947794779478,22152.992468571785,21986.698960819227
2020-07-04 12:00:00+02:00,730.7950532776337,66.11560785639617,40.08031083108311,548.1948194819482,21971.81876082598,21900.71199277558
2020-07-04 13:00:00+02:00,855.0752765414044,72.38257891624914,46.49665966596659,534.0334033403341,24830.76940537338,24830.76940537338
2020-07-04 14:00:00+02:00,1099.7590854671425,84.16079197513784,60.18097409740973,502.5902590259026,30246.37136004829,29559.248398918495
2020-07-04 15:00:00+02:00,1003.6645247590291,77.90081450282638,55.024816481648166,518.3518351835183,28522.214603898636,27937.592471424334
2020-07-04 16:00:00+02:00,868.2904861622558,70.02543754851298,47.28045454545454,539.3939393939395,25502.790633608816,24923.287074340293
2020-07-04 17:00:00+02:00,360.00044970089033,43.9397226684428,19.200011455691026,595.7995799579958,11439.35876048942,11434.946591918051
2020-07-04 18:00:00+02:00,409.23009246170494,46.524633176232584,22.13853135313531,591.6391639163917,13098.022180105798,12910.870250271433
2020-07-04 19:00:00+02:00,259.70057699823536,39.02872441126457,13.919989498949892,604.2004200420042,8410.463502245813,8381.793917518919
2020-07-04 20:00:00+02:00,113.84098734783079,31.283437325839017,6.080392039203921,607.9607960796079,3696.639984630526,3622.043492839813
2020-07-04 21:00:00+02:00,4.834342098930631,24.3495627354034,0.24000805322996252,590.3590359035904,141.6909229139383,0.0
2020-07-04 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-05 00:00:00+02:00,0.0,,0.0,,0.0,0.0
