,i_dc,v_dc,p_dc,p_ac
2020-07-01 00:00:00+02:00,0.0,,0.0,0.0
2020-07-01 01:00:00+02:00,0.0,,0.0,0.0
2020-07-01 02:00:00+02:00,0.0,,0.0,0.0
2020-07-01 03:00:00+02:00,0.0,,0.0,0.0
2020-07-01 04:00:00+02:00,0.0,,0.0,0.0
2020-07-01 05:00:00+02:00,0.0,,0.0,0.0
2020-07-01 06:00:00+02:00,0.0,,0.0,0.0
2020-07-01 07:00:00+02:00,0.018451369216241735,200.0,3.690273843248347,0.0
2020-07-01 08:00:00+02:00,2.3755256051920983,601.8001800180018,1429.5917368419775,1257.1224571056027
2020-07-01 09:00:00+02:00,7.3199789978997885,615.4015401540155,4504.726349202577,4342.385008692817
2020-07-01 10:00:00+02:00,15.659987453290782,604.6004600460046,9468.035618574268,9300.042549511682
2020-07-01 11:00:00+02:00,4.140237383738374,604.3604360436043,2502.1956705601556,2334.4433165366568
2020-07-01 12:00:00+02:00,34.50260186018602,566.3566356635663,19540.77751117446,19277.806513898595
2020-07-01 13:00:00+02:00,14.578994899489947,602.0402040204021,8777.14106370133,8611.562259296941
2020-07-01 14:00:00+02:00,19.838682534920157,595.2395239523953,11808.767947928573,11628.68273302982
2020-07-01 15:00:00+02:00,1.7400850016036085,589.1589158915892,1025.1865931039963,850.6095434409874
2020-07-01 16:00:00+02:00,4.139995104773635,606.2006200620062,2509.667599567448,2341.9436546626316
2020-07-01 17:00:00+02:00,7.319986172530295,610.6010601060107,4469.591316908338,4307.193151980197
2020-07-01 18:00:00+02:00,7.6804500450045,609.9609960996099,4684.774959944239,4522.703452569332
2020-07-01 19:00:00+02:00,5.699987306422949,611.0011001100111,3482.6985148375206,3318.148098945782
2020-07-01 20:00:00+02:00,8.10048604860486,611.1611161116111,4950.702094511881,4788.963732249315
2020-07-01 21:00:00+02:00,2.2201378742525413,604.7604760476047,1342.651637724284,1169.7444421646776
2020-07-01 22:00:00+02:00,0.0,,0.0,0.0
2020-07-01 23:00:00+02:00,0.0,,0.0,0.0
2020-07-02 00:00:00+02:00,0.0,,0.0,0.0
2020-07-02 01:00:00+02:00,0.0,,0.0,0.0
2020-07-02 02:00:00+02:00,0.0,,0.0,0.0
2020-07-02 03:00:00+02:00,0.0,,0.0,0.0
2020-07-02 04:00:00+02:00,0.0,,0.0,0.0
2020-07-02 05:00:00+02:00,0.0,,0.0,0.0
2020-07-02 06:00:00+02:00,0.0,,0.0,0.0
2020-07-02 07:00:00+02:00,1.9201046890403326,609.1609160916091,1169.6527313676033,995.8493483454338
2020-07-02 08:00:00+02:00,2.09985598559856,593.6393639363937,1246.5571716487582,1073.156251955277
2020-07-02 09:00:00+02:00,7.062447552447551,612.1212121212121,4323.073956346683,4160.424151708878
2020-07-02 10:00:00+02:00,34.86023402340234,560.996099609961,19556.45531861917,19293.24928428673
2020-07-02 11:00:00+02:00,41.82042154215422,543.7943794379438,22741.71018034897,22425.130045568836
2020-07-02 12:00:00+02:00,48.056695669566956,530.4330433043305,25490.85933515844,25119.217316850394
2020-07-02 13:00:00+02:00,29.762140214021404,571.9571957195719,17022.670255424382,16793.93201725623
2020-07-02 14:00:00+02:00,54.84488048804881,511.95119511951197,28077.90211204339,27646.833283411903
2020-07-02 15:00:00+02:00,21.718559855985596,584.038403840384,12684.473032001668,12498.310923120285
2020-07-02 16:00:00+02:00,22.740065256525654,582.5982598259826,13248.322446781132,13057.79999786955
2020-07-02 17:00:00+02:00,19.69069773644031,590.6790679067907,11630.882985394916,11451.928853224688
2020-07-02 18:00:00+02:00,7.25999504298256,603.8003800380038,4383.587766026893,4221.044761841137
2020-07-02 19:00:00+02:00,7.739992090118101,605.8005800580058,4688.891697837923,4526.825942056696
2020-07-02 20:00:00+02:00,4.860309820455731,607.5607560756075,2952.933509277784,2786.7847485693756
2020-07-02 21:00:00+02:00,1.799847569172501,591.2391239123913,1064.1402999733966,889.7741272256651
2020-07-02 22:00:00+02:00,0.0,,0.0,0.0
2020-07-02 23:00:00+02:00,0.0,,0.0,0.0
2020-07-03 00:00:00+02:00,0.0,,0.0,0.0
2020-07-03 01:00:00+02:00,0.0,,0.0,0.0
2020-07-03 02:00:00+02:00,0.0,,0.0,0.0
2020-07-03 03:00:00+02:00,0.0,,0.0,0.0
2020-07-03 04:00:00+02:00,0.0,,0.0,0.0
2020-07-03 05:00:00+02:00,0.0,,0.0,0.0
2020-07-03 06:00:00+02:00,0.0,,0.0,0.0
2020-07-03 07:00:00+02:00,0.9000078194347931,597.5597559755976,537.8084529575847,360.4515287861279
2020-07-03 08:00:00+02:00,3.959733625536467,608.4408440844085,2409.263669470823,2241.152832739626
2020-07-03 09:00:00+02:00,2.9999992221444365,601.4001400140014,1804.1999522395595,1633.5222352041687
2020-07-03 10:00:00+02:00,17.819994599459946,601.8001800180018,10724.075957874815,10550.345428432061
2020-07-03 11:00:00+02:00,33.05778697869788,568.8368836883689,18804.48852659644,18552.25047929638
2020-07-03 12:00:00+02:00,36.72266186618662,556.3556355635563,20430.85988214783,20154.115902247777
2020-07-03 13:00:00+02:00,28.318133813381337,573.2373237323733,16233.011240277943,16013.5679359808
2020-07-03 14:00:00+02:00,46.26049654965497,533.7933793379339,24693.546783091155,24338.73196142056
2020-07-03 15:00:00+02:00,55.32485248524852,514.7514751475148,28478.549429100327,28037.617352779755
2020-07-03 16:00:00+02:00,48.72049354935494,534.1934193419343,26026.16704115657,25642.83408078065
2020-07-03 17:00:00+02:00,43.860373537353745,550.1950195019501,24131.759073747162,23788.379732969297
